url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
http://www.billboard.com/charts/hot-100/1982-07-17,7/17/1982,85,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,85,2,20
http://www.billboard.com/charts/hot-100/1982-07-24,7/24/1982,97,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,85,2,21
http://www.billboard.com/charts/hot-100/1965-10-09,10/9/1965,89,Don't Talk To Strangers,The Beau Brummels,Don't Talk To StrangersThe Beau Brummels,1,,89,1
http://www.billboard.com/charts/hot-100/1965-10-16,10/16/1965,72,Don't Talk To Strangers,The Beau Brummels,Don't Talk To StrangersThe Beau Brummels,1,89,72,2
http://www.billboard.com/charts/hot-100/1965-10-23,10/23/1965,69,Don't Talk To Strangers,The Beau Brummels,Don't Talk To StrangersThe Beau Brummels,1,72,69,3
http://www.billboard.com/charts/hot-100/1965-10-30,10/30/1965,68,Don't Talk To Strangers,The Beau Brummels,Don't Talk To StrangersThe Beau Brummels,1,69,68,4
http://www.billboard.com/charts/hot-100/1965-11-06,11/6/1965,65,Don't Talk To Strangers,The Beau Brummels,Don't Talk To StrangersThe Beau Brummels,1,68,65,5
http://www.billboard.com/charts/hot-100/1965-11-13,11/13/1965,55,Don't Talk To Strangers,The Beau Brummels,Don't Talk To StrangersThe Beau Brummels,1,65,55,6
http://www.billboard.com/charts/hot-100/1965-11-20,11/20/1965,52,Don't Talk To Strangers,The Beau Brummels,Don't Talk To StrangersThe Beau Brummels,1,55,52,7
http://www.billboard.com/charts/hot-100/1965-11-27,11/27/1965,62,Don't Talk To Strangers,The Beau Brummels,Don't Talk To StrangersThe Beau Brummels,1,52,52,8
http://www.billboard.com/charts/hot-100/2001-02-17,2/17/2001,79,Don't Talk,Jon B,Don't TalkJon B,1,,79,1
http://www.billboard.com/charts/hot-100/2001-02-24,2/24/2001,72,Don't Talk,Jon B,Don't TalkJon B,1,79,72,2
http://www.billboard.com/charts/hot-100/2001-03-03,3/3/2001,58,Don't Talk,Jon B,Don't TalkJon B,1,72,58,3
http://www.billboard.com/charts/hot-100/2001-03-10,3/10/2001,66,Don't Talk,Jon B,Don't TalkJon B,1,58,58,4
http://www.billboard.com/charts/hot-100/2001-03-17,3/17/2001,64,Don't Talk,Jon B,Don't TalkJon B,1,66,58,5
http://www.billboard.com/charts/hot-100/2001-03-24,3/24/2001,64,Don't Talk,Jon B,Don't TalkJon B,1,64,58,6
http://www.billboard.com/charts/hot-100/2001-03-31,3/31/2001,64,Don't Talk,Jon B,Don't TalkJon B,1,64,58,7
http://www.billboard.com/charts/hot-100/2001-04-07,4/7/2001,75,Don't Talk,Jon B,Don't TalkJon B,1,64,58,8
http://www.billboard.com/charts/hot-100/2001-04-14,4/14/2001,77,Don't Talk,Jon B,Don't TalkJon B,1,75,58,9
http://www.billboard.com/charts/hot-100/2001-04-21,4/21/2001,84,Don't Talk,Jon B,Don't TalkJon B,1,77,58,10
http://www.billboard.com/charts/hot-100/2001-04-28,4/28/2001,91,Don't Talk,Jon B,Don't TalkJon B,1,84,58,11
http://www.billboard.com/charts/hot-100/2001-05-05,5/5/2001,95,Don't Talk,Jon B,Don't TalkJon B,1,91,58,12
http://www.billboard.com/charts/hot-100/2001-05-12,5/12/2001,97,Don't Talk,Jon B,Don't TalkJon B,1,95,58,13
http://www.billboard.com/charts/hot-100/2001-05-19,5/19/2001,98,Don't Talk,Jon B,Don't TalkJon B,1,97,58,14
http://www.billboard.com/charts/hot-100/1982-06-26,6/26/1982,82,Don't Talk,Larry Lee,Don't TalkLarry Lee,1,,82,1
http://www.billboard.com/charts/hot-100/1982-07-03,7/3/1982,81,Don't Talk,Larry Lee,Don't TalkLarry Lee,1,82,81,2
http://www.billboard.com/charts/hot-100/2014-07-12,7/12/2014,89,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,,89,1
http://www.billboard.com/charts/hot-100/2014-07-19,7/19/2014,78,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,89,78,2
http://www.billboard.com/charts/hot-100/2014-07-26,7/26/2014,71,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,78,71,3
http://www.billboard.com/charts/hot-100/2014-08-02,8/2/2014,58,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,71,58,4
http://www.billboard.com/charts/hot-100/2014-08-09,8/9/2014,40,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,58,40,5
http://www.billboard.com/charts/hot-100/2014-08-16,8/16/2014,30,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,40,30,6
http://www.billboard.com/charts/hot-100/2014-08-23,8/23/2014,26,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,30,26,7
http://www.billboard.com/charts/hot-100/2014-08-30,8/30/2014,18,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,26,18,8
http://www.billboard.com/charts/hot-100/2014-09-06,9/6/2014,18,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,18,18,9
http://www.billboard.com/charts/hot-100/2014-09-13,9/13/2014,17,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,18,17,10
http://www.billboard.com/charts/hot-100/2014-09-20,9/20/2014,13,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,17,13,11
http://www.billboard.com/charts/hot-100/2014-09-27,9/27/2014,12,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,13,12,12
http://www.billboard.com/charts/hot-100/2014-10-04,10/4/2014,10,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,12,10,13
http://www.billboard.com/charts/hot-100/2014-10-11,10/11/2014,9,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,10,9,14
http://www.billboard.com/charts/hot-100/2014-10-18,10/18/2014,7,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,9,7,15
http://www.billboard.com/charts/hot-100/2014-10-25,10/25/2014,6,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,7,6,16
http://www.billboard.com/charts/hot-100/2014-11-01,11/1/2014,6,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,6,6,17
http://www.billboard.com/charts/hot-100/2014-11-08,11/8/2014,7,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,6,6,18
http://www.billboard.com/charts/hot-100/2014-11-15,11/15/2014,7,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,7,6,19
http://www.billboard.com/charts/hot-100/2014-11-22,11/22/2014,10,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,7,6,20
http://www.billboard.com/charts/hot-100/2014-11-29,11/29/2014,15,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,10,6,21
http://www.billboard.com/charts/hot-100/2014-12-06,12/6/2014,22,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,15,6,22
http://www.billboard.com/charts/hot-100/2014-12-13,12/13/2014,25,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,22,6,23
http://www.billboard.com/charts/hot-100/2014-12-20,12/20/2014,25,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,25,6,24
http://www.billboard.com/charts/hot-100/2014-12-27,12/27/2014,29,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,25,6,25
http://www.billboard.com/charts/hot-100/2015-01-03,1/3/2015,30,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,29,6,26
http://www.billboard.com/charts/hot-100/2015-01-10,1/10/2015,28,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,30,6,27
http://www.billboard.com/charts/hot-100/2015-01-17,1/17/2015,30,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,28,6,28
http://www.billboard.com/charts/hot-100/2015-01-24,1/24/2015,36,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,30,6,29
http://www.billboard.com/charts/hot-100/2015-01-31,1/31/2015,39,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,36,6,30
http://www.billboard.com/charts/hot-100/2015-02-07,2/7/2015,47,Don't Tell 'Em,Jeremih Featuring YG,Don't Tell 'EmJeremih Featuring YG,1,39,6,31
http://www.billboard.com/charts/hot-100/1975-03-29,3/29/1975,86,Don't Tell Me Goodnight,Lobo,Don't Tell Me GoodnightLobo,1,,86,1
http://www.billboard.com/charts/hot-100/1975-04-05,4/5/1975,75,Don't Tell Me Goodnight,Lobo,Don't Tell Me GoodnightLobo,1,86,75,2
http://www.billboard.com/charts/hot-100/1975-04-12,4/12/1975,63,Don't Tell Me Goodnight,Lobo,Don't Tell Me GoodnightLobo,1,75,63,3
http://www.billboard.com/charts/hot-100/1975-04-19,4/19/1975,50,Don't Tell Me Goodnight,Lobo,Don't Tell Me GoodnightLobo,1,63,50,4
